Date,Close
6/28/2018,83.73
6/29/2018,83.46
7/2/2018,84.33
7/3/2018,84.54
7/5/2018,85.57
7/6/2018,86.22
7/9/2018,86.86
7/10/2018,86.45
7/11/2018,85.73
7/12/2018,85.93
7/13/2018,85.85
7/16/2018,85.55
7/17/2018,86.02
7/18/2018,86.37
7/19/2018,87.04
7/20/2018,86.72
7/23/2018,86.75
7/24/2018,85.94
7/25/2018,86.12
7/26/2018,87.04
7/27/2018,85.55
7/30/2018,85.16
7/31/2018,86.16
8/1/2018,86.13
8/2/2018,86.89
8/3/2018,86.61
8/6/2018,87.18
8/7/2018,87.35
8/8/2018,87.3
8/9/2018,87.4
8/10/2018,87.22
8/13/2018,86.83
8/14/2018,87.95
8/15/2018,86.93
8/16/2018,87.64
8/17/2018,88.19
8/20/2018,88.49
8/21/2018,89.54
8/22/2018,89.72
8/23/2018,89.45
8/24/2018,89.77
8/27/2018,89.83
8/28/2018,89.83
8/29/2018,90.02
8/30/2018,89.79
8/31/2018,90.31
9/4/2018,89.93
9/5/2018,89.84
9/6/2018,89.17
9/7/2018,88.97
9/10/2018,89.07
9/11/2018,89.1
9/12/2018,88.82
9/13/2018,88.83
9/14/2018,89.47
9/17/2018,88.48
9/18/2018,88.73
9/19/2018,88.17
9/20/2018,88.93
9/21/2018,88.44
9/24/2018,87.85
9/25/2018,87.9
9/26/2018,86.87
9/27/2018,86.9
9/28/2018,87.24
10/1/2018,85.94
10/2/2018,85.02
10/3/2018,85.77
10/4/2018,84.75
10/5/2018,83.81
10/8/2018,83.74
10/9/2018,83.48
10/10/2018,81.2
10/11/2018,79.44
10/12/2018,79.3
10/15/2018,79.67
10/16/2018,81.84
10/17/2018,81.43
10/18/2018,79.88
10/19/2018,79.1
10/22/2018,79.03
10/23/2018,78.41
10/24/2018,75.65
10/25/2018,77.3
10/26/2018,76.57
10/29/2018,76.35
10/30/2018,78.11
10/31/2018,78.05
11/1/2018,79.56
11/2/2018,80.03
11/5/2018,80.11
11/6/2018,80.56
11/7/2018,81.55
11/8/2018,81.38
11/9/2018,79.97
11/12/2018,78.52
11/13/2018,78.35
11/14/2018,77.82
11/15/2018,78.86
11/16/2018,79.11
11/19/2018,77.8
11/20/2018,76.3
11/21/2018,77.09
11/23/2018,77.08
